country;filename
Germany;de/(Richtweg), 21075 Hambourg, Allemagne.png
Germany;de/A111, 13627 Berlin, Allemagne.png
Germany;de/A255, 21109 Hamburg, Germany.png
Germany;de/A281, 28199 Bremen, Tyskland.png
Germany;de/A3, 51107 Cologne, Germany.png
Germany;de/A44, 40472 Dusseldorf, Germany.png
Germany;de/Achim-von-Arnim-Straße 1, 53113 Bonn, Germany.png
Germany;de/Airportring 24, 60549 Frankfurt, Germany.png
Germany;de/Alberichstraße 17-19, 12683 Berlin, Germany.png
Germany;de/Alt-Buch 70-74, 13125 Berlin, Germany.png
Germany;de/Alte Brücke, 60594 Francfort, Allemagne.png
Germany;de/Altendorfer Straße 510, 45355 Essen, Germany.png
Germany;de/Alter Flughafen 22, 30179 Hanovre, Allemagne.png
Germany;de/Alter Postweg 174D, 28207 Bremen, Germany.png
Germany;de/Am Blütenring 24-28, 80939 Munich, Germany.png
Germany;de/Am Finkenberg 40, 53227 Bonn, Germany.png
Germany;de/Am Großen Wannsee 20, 14109 Berlin, Germany.png
Germany;de/Am Grünen Hagen 14, 30459 Hanover, Germany.png
Germany;de/Am Kosttor 2, 80331 Munich, Germany.png
Germany;de/Am Ritterholz 25, 14089 Berlin, Allemagne.png
Germany;de/Am Schillertheater 2-4, 10625 Berlin, Germany.png
Germany;de/Amsterdamer Weg 14A, 44269 Dortmund, Germany.png
Germany;de/An der Alster 57, 20099 Hamburg, Germany.png
Germany;de/An der Johanniskirche 7-9, 30629 Hanover, Germany.png
Germany;de/An der Priesterkoppel 34, 13158 Berlin, Germany.png
Germany;de/Argentinische Allee 73, 14163 Berlin, Germany.png
Germany;de/Arminiusstraße 24-26, 53117 Bonn, Germany.png
Germany;de/Arthur-Menge-Ufer 1, 30169 Hanovre, Allemagne.png
Germany;de/Astrid-Lindgren-Allee 31, 51109 Cologne, Germany.png
Germany;de/Auerbacher Straße 12, 90482 Nuremberg, Allemagne.png
Germany;de/Auf dem Stallberg 28, 51145 Cologne, Germany.png
Germany;de/Augsburger Straße 515, 70327 Stuttgart, Germany.png
Germany;de/Augsburger Straße 738, 70329 Stuttgart, Germany.png
Germany;de/Azaleenweg 18, 53117 Bonn, Germany.png
Germany;de/B521, 60388 Frankfurt, Germany.png
Germany;de/Bad Kreuznacher Straße 40, 68309 Mannheim, Germany.png
Germany;de/Bangemannweg 11, 30459 Hanovre, Allemagne.png
Germany;de/Baseler Straße 17, 60329 Frankfurt, Germany.png
Germany;de/Beckendorfstraße, 33739 Bielefeld, Germany.png
Germany;de/Bedingrader Straße 78, 45359 Essen, Germany.png
Germany;de/Belfortstraße 6, 45138 Essen, Germany.png
Germany;de/Benrather Schloßallee 89, 40597 Düsseldorf, Tyskland.png
Germany;de/Bergmannstraße 19, 10961 Berlin, Germany.png
Germany;de/Berliner Straße 48B, 13089 Berlin, Germany.png
Germany;de/Beselerstraße 2, 60385 Francfort, Allemagne.png
Germany;de/Beuthener Straße 19, 90471 Nuremberg, Germany.png
Germany;de/Beyenburger Freiheit 5, 42399 Wuppertal, Niemcy.png
Germany;de/Bismarckstraße 144, 28205 Bremen, Germany.png
Germany;de/Bismarckstraße 2-4, 47198 Duisburg, Germany.png
Germany;de/Bismarckstraße 6-8, 33615 Bielefeld, Germany.png
Germany;de/Blumenthalstraße 16, 12103 Berlin, Germany.png
Germany;de/Braker Straße 108, 33729 Bielefeld, Germany.png
Germany;de/Brandenburger Straße 21, 45145 Essen, Germany.png
Germany;de/Breslauer Platz 2, 50668 Cologne, Germany.png
Germany;de/Breslaustraße 35, 44263 Dortmund, Germany.png
Germany;de/Bulgarische Straße 62, 12435 Berlin, Germany.png
Germany;de/Bundesring 48, 12101 Berlin, Germany.png
Germany;de/Buntzelstraße 89, 12526 Berlin, Germany.png
Germany;de/Burgherrenstraße 87, 70469 Stuttgart, Allemagne.png
Germany;de/Buschkampstraße 244, 33659 Bielefeld, Germany.png
Germany;de/Buschkampstraße 251A, 33659 Bielefeld, Germany.png
Germany;de/Buschkampstraße 322, 33659 Bielefeld, Allemagne.png
Germany;de/Bückerheide 8-10, 45139 Essen, Germany.png
Germany;de/Carl-Zuckmayer-Straße 29, 68169 Mannheim, Germany.png
Germany;de/Casterfeldstraße, 68219 Mannheim, Allemagne.png
